,CATEGORY,LATN,DEVA,TELU,TAML,MLYM,KNDA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kḍha,क्ढ,క్ఢ,க்ட,ക്ഢ,ಕ್ಢ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kṇa,क्ण,క్ణ,க்ண,ക്ണ,ಕ್ಣ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kta,क्त,క్త,க்த,ക്ത,ಕ್ತ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,ktha,क्थ,క్థ,க்த,ക്ഥ,ಕ್ಥ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kda,क्द,క్ద,க்த,ക്ദ,ಕ್ದ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kdha,क्ध,క్ధ,க்த,ക്ധ,ಕ್ಧ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kna,क्न,క్న,க்ந,ക്ന,ಕ್ನ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kpa,क्प,క్ప,க்ப,ക്പ,ಕ್ಪ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kpha,क्फ,క్ఫ,க்ப,ക്ഫ,ಕ್ಫ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kba,क्ब,క్బ,க்ப,ക്ബ,ಕ್ಬ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kbha,क्भ,క్భ,க்ப,ക്ഭ,ಕ್ಭ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kma,क्म,క్మ,க்ம,ക്മ,ಕ್ಮ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kya,क्य,క్య,க்ய,ക്യ,ಕ್ಯ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kra,क्र,క్ర,க்ர,ക്ര,ಕ್ರ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kla,क्ल,క్ల,க்ல,ക്ല,ಕ್ಲ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kva,क्व,క్వ,க்வ,ക്വ,ಕ್ವ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kśa,क्श,క్శ,க்ஶ,ക്ശ,ಕ್ಶ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kṣa,क्ष,క్ష,க்ஷ,ക്ഷ,ಕ್ಷ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,ksa,क्स,క్స,க்ஸ,ക്സ,ಕ್ಸ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kha,क्ह,క్హ,க்ஹ,ക്ഹ,ಕ್ಹ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kla,क्ळ,క్ళ,க்ள,ക്ള,ಕ್ಳ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kkṣa,क्क्ष,క్క్ష,க்க்ஷ,ക്ക്ഷ,ಕ್ಕ್ಷ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLSTR,kఱ,क्ऱ,క్ఱ,க்ற,ക്റ,ಕ್ಱ,,,,,,,,,,,,,,,,,,,,,,,,,,,
